Age,Gender,Occupation,"How familiar are you with biometric authentication methods (e.g., fingerprint, facial recognition)? ",How often do you use biometric authentication methods? ,Which biometric methods have you used? (Select all that apply)  ,How would you rate your overall experience with biometric authentication?  ,"How secure do you feel using biometric authentication compared to traditional methods (passwords, PINs)? ",Are you concerned about the potential misuse of your biometric data? ,Do you trust companies to handle your biometric data responsibly? ,Would you be willing to share your biometric data with third-party services for enhanced security? ,How likely are you to use biometric authentication for online transactions in the future? ,Which of the following do you believe is the biggest benefit of biometric authentication? ,Do you prefer biometric authentication over traditional methods for online security? ,How convenient do you find biometric authentication compared to traditional methods? ,How reliable do you find biometric authentication technology? ,Are you aware of any regulations governing the use of biometric data? ,What factors would increase your trust in biometric authentication systems? ,What improvements would you suggest for biometric authentication systems? ,What additional comments or concerns do you have regarding biometric authentication? 
Under 18,Male,Student,Somewhat familiar,Weekly,Facial recognition,Satisfied,Less secure,Concerned,Neutral,Maybe,Likely,Difficulty for unauthorized access,Prefer,More convenient,Neutral,Neutral,Stronger privacy policies,Improve accuracy for everyone ,Scared of losing privacy 
Under 18,Female,Student,Very familiar,Daily,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Very satisfied,More secure,Concerned,Neutral,No,Likely,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Government regulations,Add more safey features ,Don't trust with personal data
Under 18,Female,Student,Somewhat familiar,Weekly,Facial recognition,Satisfied,More secure,Concerned,Agree,Maybe,Likely,Convenience and speed,Prefer,More convenient,Reliable,Aware,Better transparency from companies,Make it more secure ,Concerns about data misuse 
46-60,Male,Retired,Very familiar,Daily,"Fingerprint, Facial recognition, Iris scan",Satisfied,More secure,Concerned,Agree,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Reliable,Aware,Better transparency from companies,Easier use for all ages ,Too complicated for seniors 
Under 18,Female,Student,Somewhat familiar,Weekly,Facial recognition,Satisfied,About the same,Slightly concerned,Disagree,No,Neutral,Convenience and speed,Prefer traditional methods,Less convenient,Not reliable,Aware,Improved technology,Faster recognition speeds,Not sure it's safe
Under 18,Female,Student,Somewhat familiar,Monthly,"Fingerprint, Facial recognition",Satisfied,More secure,Concerned,Disagree,Maybe,Unlikely,Difficulty for unauthorized access,Prefer traditional methods,Less convenient,Not reliable,Unaware,Improved technology,Improve recognition in dark,Worried about hackers
Under 18,Male,Student,Not very familiar,Rarely,Facial recognition,Dissatisfied,Less secure,Slightly concerned,Disagree,No,Unlikely,Difficulty for unauthorized access,Prefer traditional methods,Less convenient,Neutral,Neutral,Improved technology,Better face recognition technology ,Don't like using biometrics
Under 18,Male,Student,Somewhat familiar,Weekly,Facial recognition,Satisfied,About the same,Neutral,Neutral,No,Neutral,Convenience and speed,Neutral,About the same,Neutral,Neutral,Improved technology,Add backup password option ,What if data gets stolen?
Under 18,Female,Student,Somewhat familiar,Daily,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Satisfied,Less secure,Neutral,Disagree,Maybe,Neutral,Difficulty for unauthorized access,Strongly prefer traditional methods,About the same,Neutral,Neutral,Improved technology,Make it work faster,Worried about privacy issues 
Under 18,Male,Student,Somewhat familiar,Weekly,"Fingerprint, Facial recognition",Satisfied,More secure,Slightly concerned,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Less errors during use,Scared for privacy 
Under 18,Male,Student,Somewhat familiar,Daily,"Fingerprint, Facial recognition",Neutral,Less secure,Slightly concerned,Neutral,No,Neutral,Reduced risk of forgetting passwords,Neutral,More convenient,Reliable,Neutral,Improved technology,Add more privacy protections,Worried about misuse 
Under 18,Male,Student,Somewhat familiar,Weekly,Fingerprint,Satisfied,Less secure,Neutral,Neutral,Maybe,Neutral,Convenience and speed,Prefer,Less convenient,Neutral,Neutral,Better transparency from companies,Improve speed and reliability ,Don't fully trust it
Under 18,Female,Student,Neutral,Weekly,Fingerprint,Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Difficulty for unauthorized access,Neutral,About the same,Neutral,Neutral,Stronger privacy policies,Improve sensor accuracy ,Concerns about data storage
26-35,Female,Employed,Somewhat familiar,Daily,"Fingerprint, Facial recognition, Iris scan",Satisfied,Less secure,Slightly concerned,Neutral,No,Neutral,Reduced risk of forgetting passwords,Strongly prefer traditional methods,About the same,Neutral,Aware,Better transparency from companies,More options for everyone ,Not comfortable using it
Above 60,Male,Retired,Neutral,Rarely,"Facial recognition, Voice recognition",Satisfied,About the same,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Make it easier to use,Worried about data safety 
26-35,Male,Employed,Very familiar,Daily,"Fingerprint, Facial recognition, Iris scan",Satisfied,Less secure,Neutral,Neutral,No,Neutral,Difficulty for unauthorized access,Neutral,About the same,Neutral,Neutral,Better transparency from companies,Make it less error prone,Prefer using traditional methods like PIN & PASSWORDS
36-45,Male,Employed,Somewhat familiar,Weekly,"Fingerprint, Iris scan",Neutral,About the same,Neutral,Neutral,No,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Make it faster ,No comments 
26-35,Female,Unemployed,Neutral,Weekly,"Fingerprint, Facial recognition",Neutral,More secure,Neutral,Disagree,No,Neutral,Convenience and speed,Neutral,About the same,Neutral,Neutral,Improved technology,No suggestion ,No comments 
Under 18,Female,Student,Somewhat familiar,Weekly,"Fingerprint, Facial recognition",Satisfied,More secure,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Prefer,About the same,Neutral,Neutral,Improved technology,Make it easier for all ages group ,Feels risky for privacy 
18-25,Male,Employed,Neutral,Daily,"Fingerprint, Facial recognition, Iris scan",Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Faster recognition time,Enhance security 
Under 18,Female,Student,Somewhat familiar,Weekly,Fingerprint,Satisfied,Less secure,Slightly concerned,Disagree,No,Unlikely,Difficulty for unauthorized access,Prefer traditional methods,Less convenient,Not reliable,Unaware,Improved technology,Better accuracy in low light ,Concerned about data theft
Under 18,Female,Student,Somewhat familiar,Monthly,Facial recognition,Dissatisfied,More secure,Neutral,Neutral,No,Neutral,Convenience and speed,Neutral,Less convenient,Reliable,Neutral,Stronger privacy policies,NA,Offer better backup methods
Under 18,Female,Student,Somewhat familiar,Daily,"Fingerprint, Facial recognition",Satisfied,More secure,Neutral,Agree,Maybe,Neutral,Convenience and speed,Prefer,About the same,Reliable,Aware,Improved technology,Speed up recognition process,Not sure how data is used
18-25,Female,Unemployed,Neutral,Monthly,Fingerprint,Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Convenience and speed,Neutral,About the same,Neutral,Neutral,Improved technology,Add more backup options ,Fear about data misuse 
26-35,Male,Employed,Very familiar,Daily,"Fingerprint, Facial recognition, Voice recognition",Satisfied,Less secure,Neutral,Agree,No,Likely,Difficulty for unauthorized access,Prefer,More convenient,Neutral,Aware,Better transparency from companies,More customisable settings ,Worried about privacy invasion 
46-60,Female,Unemployed,Neutral,Daily,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Neutral,About the same,Neutral,Neutral,No,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Faster and more reliable systems ,Questionable data protection policies
Under 18,Female,Student,Somewhat familiar,Daily,"Fingerprint, Facial recognition",Satisfied,More secure,Neutral,Neutral,No,Neutral,Convenience and speed,Neutral,About the same,Neutral,Neutral,Improved technology,Make it faster for unlocking ,I'm worried about hackers stealing my data
Under 18,Male,Student,Neutral,Weekly,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Improve accuracy in poor lighting ,I don't like sharing my face for online stuff 
Under 18,Male,Student,Somewhat familiar,Daily,Facial recognition,Satisfied,Less secure,Concerned,Neutral,No,Neutral,Difficulty for unauthorized access,Neutral,About the same,Neutral,Aware,Improved technology,Add more backup methods like passwords,Not confident in tech reliability 
Under 18,Male,Student,Somewhat familiar,Weekly,Fingerprint,Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Better facial recognition ,I think my information could be used against me
Under 18,Female,Student,Somewhat familiar,Monthly,Iris scan,Neutral,Less secure,Slightly concerned,Disagree,No,Unlikely,Reduced risk of forgetting passwords,Neutral,Less convenient,Not reliable,Unaware,Improved technology,Make it work even with wet fingers,Nocomments
Above 60,Male,Retired,Very familiar,Daily,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Satisfied,About the same,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Prefer,About the same,Neutral,Neutral,Improved technology,Make the technology easier for seniors to understand,concerned about how my biometric data is used
18-25,Female,Student,Very familiar,Daily,Fingerprint,Satisfied,Less secure,Neutral,Neutral,No,Neutral,Convenience and speed,Prefer traditional methods,About the same,Neutral,Neutral,Government regulations,Improve speed for better usability,concerned about privacy
Above 60,Female,Unemployed,Somewhat familiar,Rarely,"Facial recognition, Voice recognition",Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Difficulty for unauthorized access,Neutral,About the same,Neutral,Neutral,Improved technology,Improve fingerprint recognition for aging skin,don’t trust companies to handle my information safely
Under 18,Female,Student,Very familiar,Daily,Facial recognition,Satisfied,About the same,Concerned,Neutral,No,Neutral,Difficulty for unauthorized access,Neutral,About the same,Neutral,Neutral,Improved technology,Easier for younger people to set up,NO COMMENTS
26-35,Male,Employed,Very familiar,Daily,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Satisfied,Less secure,Very concerned,Disagree,No,Unlikely,Reduced risk of forgetting passwords,Strongly prefer traditional methods,Less convenient,Reliable,Aware,Better transparency from companies,Improve facial recognition under low light conditions,I’m worried about how companies store my data
46-60,Female,Retired,Neutral,Monthly,Fingerprint,Neutral,About the same,Neutral,Neutral,No,Neutral,Convenience and speed,Neutral,About the same,Neutral,Neutral,Improved technology,Improve ease of use for older people,no comments
18-25,Male,Student,Very familiar,Daily,"Fingerprint, Facial recognition",Very satisfied,Much more secure,Concerned,Neutral,No,Likely,Convenience and speed,Prefer,Much more convenient,Very reliable,Aware,Improved technology,For example I suggest that biometric authorities is there for beta users,Additional comment is to have more advance
36-45,Male,Self-employed,Somewhat familiar,Weekly,"Fingerprint, Iris scan",Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,NA,worry about how my biometric data is stored long-term
Under 18,Male,Student,Very familiar,Daily,"Fingerprint, Iris scan",Satisfied,Less secure,Neutral,Disagree,No,Neutral,Reduced risk of forgetting passwords,Neutral,More convenient,Neutral,Neutral,Better transparency from companies,Combine face and fingerprint for extra safety....,unsure if it’s safer than passwords
18-25,Male,Employed,Somewhat familiar,Weekly,Fingerprint,Neutral,About the same,Neutral,Neutral,No,Neutral,Convenience and speed,Neutral,About the same,Neutral,Neutral,Better transparency from companies,Offer more privacy settings for users,I’m afraid my biometric info could be stolen
18-25,Female,Student,Very familiar,Daily,"Fingerprint, Iris scan",Neutral,About the same,Neutral,Neutral,No,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,no suggestion,I wish it had better privacy guarantees
18-25,Male,Student,Somewhat familiar,Daily,Facial recognition,Satisfied,About the same,Concerned,Agree,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Reliable,Neutral,Better transparency from companies,Improve facial recognition for people with glasses,no comments
46-60,Female,Unemployed,Neutral,Rarely,Fingerprint,Neutral,About the same,Neutral,Neutral,No,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,no suggestion,no comment or concern
26-35,Male,Employed,Very familiar,Daily,Fingerprint,Satisfied,Less secure,Neutral,Neutral,No,Unlikely,Enhanced security,Prefer traditional methods,Less convenient,Reliable,Aware,Government regulations,Make the system more reliable for diverse demographics,I hope companies are transparent about their data handling practices
Above 60,Male,Retired,Somewhat familiar,Monthly,Facial recognition,Neutral,About the same,Neutral,Neutral,Maybe,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Improved technology,Make it easier to use for older people,no comments
Under 18,Female,Student,Somewhat familiar,Daily,"Fingerprint, Iris scan",Satisfied,About the same,Neutral,Neutral,No,Neutral,Difficulty for unauthorized access,Neutral,About the same,Neutral,Neutral,Improved technology,Make it work faster,Sometimes it doesn't work when my hands are wet
36-45,Male,Employed,Neutral,Weekly,Fingerprint,Neutral,About the same,Neutral,Neutral,No,Neutral,Convenience and speed,Neutral,About the same,Neutral,Neutral,Improved technology,NA,no comments
18-25,Male,Employed,Very familiar,Daily,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Satisfied,About the same,Concerned,Neutral,No,Neutral,Reduced risk of forgetting passwords,Neutral,About the same,Neutral,Neutral,Stronger privacy policies,Enhance security for cloud storage of biometric data,I wonder how safe my biometric data is
18-25,Male,Student,Very familiar,Daily,"Fingerprint, Facial recognition, Iris scan, Voice recognition",Satisfied,Less secure,Neutral,Neutral,No,Neutral,Reduced risk of forgetting passwords,Prefer,About the same,Neutral,Neutral,Better transparency from companies,Improve facial recognition accuracy for people with glassesImprove facial recognition accuracy for people with glasses,"Sometimes it fails, especially fingerprint scanners"
